METRIC,PSNR,SSIM,CC,DATASET
Max,40.86297679,0.983252489,0.999381129,SIPI
Min,37.42230694,0.956893649,0.995526841,SIPI
Mean,39.29749284,0.97397383,0.997915209,SIPI
Max,40.862976791801245,0.9832524892556972,0.9993811288816858,SIPI
Min,37.42230694013433,0.9568936492232867,0.9955268406692906,SIPI
Mean,39.29749283694743,0.9739738302821098,0.9979152088287259,SIPI
