,Image Name,PSNR,SSIM,CC
35,extracted_from_watermarked_image_image0042artwork.png,32.67753911922753,0.979722549950615,0.998738799002821
36,extracted_from_watermarked_image_image0043artwork.png,39.77497121453344,0.9837692147297404,0.9997493052123892
37,extracted_from_watermarked_image_image0044artwork.png,40.81598621364556,0.9873317688616003,0.9998011705628557
38,extracted_from_watermarked_image_image0045artwork.png,40.454221297998096,0.9841584808048323,0.9997867085323823
39,extracted_from_watermarked_image_image0046artwork.png,28.75042348993214,0.9738582162074613,0.9966562377677026
40,extracted_from_watermarked_image_image0047artwork.png,37.893404083792674,0.9873922784438495,0.999594854296989
41,extracted_from_watermarked_image_image0048artwork.png,41.263835909731185,0.9865511532303679,0.9998233692608908
42,extracted_from_watermarked_image_image0049artwork.png,38.71363227460296,0.9862905540580854,0.9996652406416403
43,extracted_from_watermarked_image_image0050artwork.png,32.58402745889599,0.9797287561306222,0.9987509998045597
44,extracted_from_watermarked_image_image0051artwork.png,25.176729152303462,0.963227007767017,0.992380157272487
45,extracted_from_watermarked_image_image0052artwork.png,35.21569294490246,0.9746459164895751,0.999219731647373
46,extracted_from_watermarked_image_image0053artwork.png,14.728255577923456,0.8231950187920621,0.9234327013110878
47,extracted_from_watermarked_image_image0054artwork.png,17.930552363454815,0.8760913092481957,0.9614700554238372
48,extracted_from_watermarked_image_image0055artwork.png,40.29310733526089,0.9828738790388529,0.999778016901993
49,extracted_from_watermarked_image_image0056artwork.png,21.06498694617583,0.9695513081056606,0.9797286220638214
50,extracted_from_watermarked_image_image0057artwork.png,30.237411496696073,0.9818466407565878,0.9976537255281362
51,extracted_from_watermarked_image_image0059artwork.png,31.096462345882912,0.9812894897996772,0.9980032752185838
52,extracted_from_watermarked_image_image0060artwork.png,24.670682136669324,0.9487385439342945,0.9912533533590288
53,extracted_from_watermarked_image_image0061artwork.png,40.46267789577239,0.9859845439123244,0.99978281502697
54,extracted_from_watermarked_image_image0062artwork.png,34.24341487401757,0.9859845906176293,0.9991011846665625
55,extracted_from_watermarked_image_image0064artwork.png,28.305088163928218,0.9783459740549149,0.9962904639985593
56,extracted_from_watermarked_image_image0066artwork.png,31.796349199286254,0.9830719106138065,0.9984933540737979
57,extracted_from_watermarked_image_image0067artwork.png,13.334667221835907,0.7971159120078672,0.9276830143759178
58,extracted_from_watermarked_image_image0069artwork.png,36.328058558772476,0.9844535161093213,0.9994085363550943
59,extracted_from_watermarked_image_image0070artwork.png,30.496694297662042,0.9764262203408641,0.9981643197304794
60,extracted_from_watermarked_image_image0072artwork.png,33.05494145378519,0.9848293122671743,0.9987275950653689
61,extracted_from_watermarked_image_image0073artwork.png,40.5176834242258,0.9859935424181975,0.9997910455898896
62,extracted_from_watermarked_image_image0075artwork.png,40.40931582583825,0.9849634078858003,0.9997859138411492
63,extracted_from_watermarked_image_image0076artwork.png,24.67251797836505,0.9583348105487511,0.990991730229212
64,extracted_from_watermarked_image_image0076artwork.png,26.01946952001321,0.9744363934082397,0.9943647982843992
65,extracted_from_watermarked_image_image0076artwork.png,40.90423947932098,0.9863697361901397,0.999807455744766
66,extracted_from_watermarked_image_image0077artwork.png,38.09953190437027,0.9847275809374886,0.9996304399476427
67,extracted_from_watermarked_image_image0078artwork.png,28.472719351818437,0.9635335003641844,0.9970190045314516
68,extracted_from_watermarked_image_image0080artwork.png,23.589732451705775,0.9491291674769267,0.9918356865599265
69,extracted_from_watermarked_image_image0081artwork.png,40.57413892722009,0.9839391464362969,0.9997897494913547
70,extracted_from_watermarked_image_image0082artwork.png,40.63611778525523,0.9893946332622342,0.9997942456987294
71,extracted_from_watermarked_image_image0083artwork.png,38.46801098867613,0.9868691022354515,0.9996618901386591
72,extracted_from_watermarked_image_image0084artwork.png,38.14340396922846,0.9863446653210398,0.9996289185495346
73,extracted_from_watermarked_image_image0086artwork.png,40.863733104039746,0.9838023855567296,0.9998059708294863
74,extracted_from_watermarked_image_image0087artwork.png,40.83887086726107,0.9864056488654058,0.9998051145104027
75,extracted_from_watermarked_image_image0090artwork.png,27.368437198669685,0.9634231575592259,0.9950572108972551
76,extracted_from_watermarked_image_image0090artwork.png,35.25138739011236,0.9721831206108393,0.9993023494395242
77,extracted_from_watermarked_image_image0091artwork.png,40.58457332857834,0.9839247095406772,0.9997916608653526
78,extracted_from_watermarked_image_image0094artwork.png,33.14070243298431,0.9866560661305405,0.9987814862117393
79,extracted_from_watermarked_image_image0094artwork.png,32.06719292197648,0.9757292633214067,0.9984895044657999
80,extracted_from_watermarked_image_image0095artwork.png,24.069206651918105,0.983737279356122,0.9898790219592448
81,extracted_from_watermarked_image_image0096artwork.png,18.882080544817896,0.9329431582249438,0.9732292848788098
82,extracted_from_watermarked_image_image0097artwork.png,15.959482753060744,0.9070386986604894,0.9433837818832584
83,extracted_from_watermarked_image_image0098artwork.png,20.554787488843473,0.9611765802063994,0.9832558130389287
84,extracted_from_watermarked_image_image0099artwork.png,32.36193365544425,0.9838782535349336,0.9985424855564955
85,extracted_from_watermarked_image_image0100artwork.png,39.0861418058187,0.9847241234926442,0.9996932899961314
86,extracted_from_watermarked_image_image0101artwork.png,20.149350373726527,0.9227907399281888,0.9777358991969983
87,extracted_from_watermarked_image_image0103artwork.png,18.8961084681215,0.9310510359318612,0.965173293344665
88,extracted_from_watermarked_image_image0104artwork.png,19.460172275354832,0.9608347751919729,0.9745126688559305
89,extracted_from_watermarked_image_image0105artwork.png,33.91443234290185,0.9816570954210558,0.9989641562144246
90,extracted_from_watermarked_image_image0106artwork.png,40.60876806981247,0.9840841417380674,0.9997910824085995
91,extracted_from_watermarked_image_image0107artwork.png,27.753491771986567,0.9695744447384497,0.9956128963072236
92,extracted_from_watermarked_image_image0109artwork.png,36.128834426556146,0.9808829509744926,0.9994458079185798
93,extracted_from_watermarked_image_image0110artwork.png,14.604819059511698,0.8424415822354384,0.9296344031572685
94,extracted_from_watermarked_image_image0111artwork.png,18.981445695150878,0.9569117442904692,0.9709712092134519
95,extracted_from_watermarked_image_image0112artwork.png,34.66634422054176,0.9892488240158714,0.999139483637412
96,extracted_from_watermarked_image_image0113artwork.png,31.91608583849213,0.9764219192458921,0.998400465746502
97,extracted_from_watermarked_image_image0114artwork.png,31.381612405989593,0.988767229822303,0.9980845662088326
