METRIC,PSNR,SSIM,CC,DATASET
Max,40.862976791801245,0.9832524892556972,0.9993811288816858,SIPI
Min,37.42230694013433,0.9568936492232867,0.9955268406692906,SIPI
Mean,39.29749283694742,0.9739738302821098,0.9979152088287259,SIPI
