,Image Name,PSNR,SSIM,CC
0,image13sipi.png,38.94605127432875,0.9748308362752102,0.9991316070491969
1,image03sipi.png,40.862976791801245,0.9568936492232867,0.9993666259670381
2,image04sipi.png,38.57405206319867,0.9758332551588409,0.9976748417774592
3,housesipi.png,39.25822521872356,0.98118501812244,0.998758950746121
4,image05sipi.png,38.51436788586253,0.9783258718370776,0.9983306479420915
5,baboonsipi.png,38.29851207709264,0.9827102052007598,0.9985161205353867
6,image11sipi.png,39.42166901252703,0.9761078337550093,0.9982700052022243
7,image08sipi.png,40.43488313938795,0.9743666872329976,0.9955268406692906
8,planesipi.png,39.099143793222744,0.9672286061475454,0.9979994434165357
9,image07sipi.png,40.091969076274204,0.9656998308452206,0.9974014532335818
10,image10sipi.png,38.841842280139566,0.9713110546756103,0.9973044234637725
11,image12sipi.png,39.941522009415415,0.9760415397596045,0.996193493445736
12,image09sipi.png,40.62942322722307,0.9647092174223953,0.9985347822971915
13,image06sipi.png,37.42230694013433,0.9832524892556972,0.9969179451164135
14,image01sipi.png,37.80344097652293,0.9816380226094926,0.9973350315158891
15,peppersipi.png,40.619499625304144,0.9734471669925697,0.9993811288816858
